Device: cpu

============================================================
ptorch | MNIST_4L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 403/5000 [00:16<06:03, 12.64step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 406/5000 [00:16<05:03, 15.11step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 409/5000 [00:16<04:22, 17.49step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 412/5000 [00:16<03:53, 19.63step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 415/5000 [00:16<03:33, 21.46step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 418/5000 [00:16<03:25, 22.33step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 421/5000 [00:16<03:14, 23.58step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 424/5000 [00:16<03:06, 24.60step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 427/5000 [00:16<02:59, 25.43step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 430/5000 [00:17<02:58, 25.65step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 433/5000 [00:17<02:57, 25.75step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 436/5000 [00:17<02:55, 26.06step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 439/5000 [00:17<02:52, 26.38step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 442/5000 [00:17<02:50, 26.71step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 445/5000 [00:17<02:48, 27.00step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 448/5000 [00:17<02:48, 27.08step/s, best=0.8551, val_acc=0.9041]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 451/5000 [00:17<02:50, 26.71step/s, best=0.8551, val_acc=0.9041]
