Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 721/5000 [00:09<00:53, 80.52step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▍        | 730/5000 [00:09<00:53, 80.56step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▍        | 739/5000 [00:09<00:52, 80.92step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▍        | 748/5000 [00:09<00:52, 81.28step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▌        | 757/5000 [00:10<00:52, 81.29step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▌        | 766/5000 [00:10<00:52, 80.67step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 775/5000 [00:10<00:52, 79.94step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 783/5000 [00:10<00:53, 79.32step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 791/5000 [00:10<00:53, 79.31step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 799/5000 [00:10<00:52, 79.31step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 800/5000 [00:10<00:52, 79.31step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 807/5000 [00:10<01:18, 53.11step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▋        | 816/5000 [00:10<01:10, 59.75step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▋        | 825/5000 [00:11<01:04, 64.93step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 834/5000 [00:11<01:00, 69.18step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 843/5000 [00:11<00:57, 72.29step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 852/5000 [00:11<00:55, 74.77step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 861/5000 [00:11<00:54, 76.60step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 870/5000 [00:11<00:52, 77.94step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 879/5000 [00:11<00:52, 78.79step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 888/5000 [00:11<00:51, 79.66step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 897/5000 [00:11<00:51, 79.99step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 906/5000 [00:12<00:51, 80.07step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 915/5000 [00:12<00:52, 77.72step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 923/5000 [00:12<00:52, 78.09step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▊        | 932/5000 [00:12<00:51, 79.23step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 940/5000 [00:12<00:51, 79.35step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 948/5000 [00:12<00:51, 79.09step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 957/5000 [00:12<00:50, 79.47step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 966/5000 [00:12<00:50, 79.58step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|█▉        | 975/5000 [00:12<00:50, 79.80step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|█▉        | 983/5000 [00:13<00:50, 79.80step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|█▉        | 991/5000 [00:13<00:50, 79.82step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1000/5000 [00:13<00:50, 79.93step/s, best=0.9146, val_acc=0.9283]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1000/5000 [00:13<00:50, 79.93step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1008/5000 [00:13<01:14, 53.76step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1017/5000 [00:13<01:06, 59.93step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1025/5000 [00:13<01:01, 64.16step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1034/5000 [00:13<00:57, 68.60step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1043/5000 [00:14<00:55, 71.91step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1052/5000 [00:14<00:53, 74.32step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1061/5000 [00:14<00:51, 76.31step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██▏       | 1069/5000 [00:14<00:50, 77.26step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1078/5000 [00:14<00:50, 78.36step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1086/5000 [00:14<00:49, 78.65step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1095/5000 [00:14<00:49, 79.16step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1104/5000 [00:14<00:48, 79.54step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1112/5000 [00:14<00:49, 78.91step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1121/5000 [00:14<00:48, 79.34step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1130/5000 [00:15<00:48, 79.64step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1139/5000 [00:15<00:48, 80.24step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1148/5000 [00:15<00:47, 80.68step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1157/5000 [00:15<00:47, 81.09step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1166/5000 [00:15<00:47, 81.24step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▎       | 1175/5000 [00:15<00:47, 80.59step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▎       | 1184/5000 [00:15<00:48, 79.08step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1192/5000 [00:15<00:52, 72.78step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1200/5000 [00:16<00:51, 73.24step/s, best=0.9283, val_acc=0.9377]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1200/5000 [00:16<00:51, 73.24step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1208/5000 [00:16<01:12, 51.97step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1217/5000 [00:16<01:04, 58.59step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1225/5000 [00:16<01:00, 61.93step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▍       | 1233/5000 [00:16<00:56, 66.15step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▍       | 1241/5000 [00:16<00:54, 69.03step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▌       | 1250/5000 [00:16<00:51, 72.83step/s, best=0.9377, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▌       | 1259/5000 [00:16<00:49, 75.06step/s, best=0.9377, val_acc=0.9413]
