Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 923/5000 [00:08<00:36, 110.76step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▊        | 935/5000 [00:09<00:36, 111.86step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 947/5000 [00:09<00:36, 111.84step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 959/5000 [00:09<00:36, 111.69step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  19%|█▉        | 971/5000 [00:09<00:36, 111.64step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|█▉        | 983/5000 [00:09<00:36, 111.53step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|█▉        | 995/5000 [00:09<00:36, 111.15step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1000/5000 [00:09<00:35, 111.15step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1007/5000 [00:09<00:48, 81.84step/s, best=0.9280, val_acc=0.9382] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  20%|██        | 1019/5000 [00:09<00:44, 88.90step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1031/5000 [00:10<00:41, 94.58step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1043/5000 [00:10<00:40, 98.92step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██        | 1054/5000 [00:10<00:38, 101.76step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  21%|██▏       | 1066/5000 [00:10<00:37, 104.21step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1078/5000 [00:10<00:37, 105.97step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1090/5000 [00:10<00:36, 107.37step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1102/5000 [00:10<00:36, 108.24step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  22%|██▏       | 1114/5000 [00:10<00:35, 109.02step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1126/5000 [00:10<00:35, 109.61step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1138/5000 [00:11<00:35, 109.85step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1150/5000 [00:11<00:34, 110.40step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1162/5000 [00:11<00:34, 111.59step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  23%|██▎       | 1174/5000 [00:11<00:34, 111.29step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▎       | 1186/5000 [00:11<00:34, 111.01step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1198/5000 [00:11<00:34, 110.94step/s, best=0.9280, val_acc=0.9382]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1200/5000 [00:11<00:34, 110.94step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1210/5000 [00:11<00:46, 82.13step/s, best=0.9382, val_acc=0.9413] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  24%|██▍       | 1222/5000 [00:11<00:42, 89.27step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▍       | 1234/5000 [00:12<00:39, 94.85step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▍       | 1246/5000 [00:12<00:37, 99.02step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▌       | 1258/5000 [00:12<00:36, 102.17step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  25%|██▌       | 1270/5000 [00:12<00:35, 104.61step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  26%|██▌       | 1282/5000 [00:12<00:34, 106.51step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  26%|██▌       | 1294/5000 [00:12<00:34, 108.11step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  26%|██▌       | 1306/5000 [00:12<00:33, 109.14step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  26%|██▋       | 1318/5000 [00:12<00:33, 109.87step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  27%|██▋       | 1330/5000 [00:12<00:33, 110.18step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  27%|██▋       | 1342/5000 [00:12<00:33, 110.44step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  27%|██▋       | 1354/5000 [00:13<00:32, 110.49step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  27%|██▋       | 1366/5000 [00:13<00:32, 110.77step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  28%|██▊       | 1378/5000 [00:13<00:32, 111.01step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  28%|██▊       | 1390/5000 [00:13<00:32, 112.00step/s, best=0.9382, val_acc=0.9413]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  28%|██▊       | 1400/5000 [00:13<00:32, 112.00step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  28%|██▊       | 1402/5000 [00:13<00:43, 82.88step/s, best=0.9413, val_acc=0.9492] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  28%|██▊       | 1414/5000 [00:13<00:40, 89.59step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  29%|██▊       | 1426/5000 [00:13<00:37, 95.01step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  29%|██▉       | 1438/5000 [00:13<00:35, 99.22step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  29%|██▉       | 1450/5000 [00:14<00:34, 102.29step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  29%|██▉       | 1461/5000 [00:14<00:33, 104.32step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  29%|██▉       | 1473/5000 [00:14<00:33, 106.06step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  30%|██▉       | 1485/5000 [00:14<00:32, 107.29step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  30%|██▉       | 1497/5000 [00:14<00:32, 108.25step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  30%|███       | 1509/5000 [00:14<00:32, 108.87step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  30%|███       | 1520/5000 [00:14<00:31, 109.10step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  31%|███       | 1532/5000 [00:14<00:31, 109.42step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  31%|███       | 1544/5000 [00:14<00:31, 109.70step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  31%|███       | 1556/5000 [00:15<00:31, 109.94step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  31%|███▏      | 1568/5000 [00:15<00:31, 109.81step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  32%|███▏      | 1579/5000 [00:15<00:31, 109.38step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  32%|███▏      | 1590/5000 [00:15<00:31, 109.52step/s, best=0.9413, val_acc=0.9492]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  32%|███▏      | 1600/5000 [00:15<00:31, 109.52step/s, best=0.9492, val_acc=0.9540]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  32%|███▏      | 1601/5000 [00:15<00:43, 78.53step/s, best=0.9492, val_acc=0.9540] 
