framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18300,0.787587890625,0.5111762285232544,473.3418791294098
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18400,0.787080078125,0.5126953125,475.67060112953186
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18500,0.7884765625,0.5111762285232544,478.0005066394806
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18600,0.78951171875,0.5107421875,480.32709193229675
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18700,0.788759765625,0.5107421875,482.65377020835876
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18800,0.78892578125,0.51171875,484.98404908180237
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18900,0.789951171875,0.5112847089767456,487.31009817123413
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19000,0.789873046875,0.5110676884651184,489.6382782459259
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19100,0.791962890625,0.511827290058136,491.96497678756714
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19200,0.79189453125,0.5121527910232544,494.2904603481293
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19300,0.790947265625,0.5115017294883728,496.6168327331543
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19400,0.7906640625,0.51171875,498.93899488449097
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19500,0.791748046875,0.5107421875,501.2659242153168
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19600,0.792822265625,0.5070529580116272,503.59373211860657
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19700,0.79380859375,0.5083550214767456,505.9252259731293
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19800,0.793359375,0.5073784589767456,508.2527253627777
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,19900,0.79501953125,0.5100911259651184,510.5784342288971
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20000,0.793291015625,0.5103081464767456,512.903890132904
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20100,0.795087890625,0.5112847089767456,515.2298185825348
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20200,0.796005859375,0.5077040195465088,517.5554962158203
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20300,0.79578125,0.509874165058136,519.8834624290466
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20400,0.7955078125,0.5103081464767456,522.2114245891571
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20500,0.796328125,0.5073784589767456,524.5389153957367
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20600,0.79599609375,0.5092231035232544,526.8659293651581
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20700,0.7974609375,0.509874165058136,529.1935768127441
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20800,0.797490234375,0.5090060830116272,531.5228550434113
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,20900,0.798212890625,0.5087890625,533.8508684635162
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21000,0.79869140625,0.5120442509651184,536.1814131736755
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21100,0.79826171875,0.509765625,538.508864402771
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21200,0.79947265625,0.5092231035232544,540.8365607261658
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21300,0.800458984375,0.5091145634651184,543.1641886234283
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21400,0.79884765625,0.5107421875,545.4911613464355
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21500,0.799716796875,0.5087890625,547.8172526359558
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21600,0.8002734375,0.5083550214767456,550.1418240070343
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21700,0.800439453125,0.5072699785232544,552.4707407951355
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21800,0.800908203125,0.5066189169883728,554.7959105968475
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,21900,0.799755859375,0.5082465410232544,557.1211879253387
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,22000,0.804150390625,0.5091145634651184,559.447098493576
